lat_bin,long_bin,n
"(42.365,42.37]","(-71.125,-71.12]",79
"(42.345,42.35]","(-71.14,-71.135]",78
"(42.315,42.32]","(-71.06,-71.055]",77
"(42.36,42.365]","(-71.15,-71.145]",77
"(42.35,42.355]","(-71.14,-71.135]",76
"(42.34,42.345]","(-71.145,-71.14]",75
"(42.3,42.305]","(-71.055,-71.05]",74
"(42.305,42.31]","(-71.11,-71.105]",74
"(42.31,42.315]","(-71.115,-71.11]",74
"(42.33,42.335]","(-71.09,-71.085]",74
"(42.305,42.31]","(-71.105,-71.1]",70
"(42.32,42.325]","(-71.07,-71.065]",69
"(42.305,42.31]","(-71.12,-71.115]",68
"(42.375,42.38]","(-71.06,-71.055]",68
"(42.34,42.345]","(-71.055,-71.05]",66
"(42.35,42.355]","(-71.085,-71.08]",66
"(42.355,42.36]","(-71.07,-71.065]",66
"(42.35,42.355]","(-71.155,-71.15]",65
"(42.315,42.32]","(-71.075,-71.07]",60
"(42.34,42.345]","(-71.11,-71.105]",60
"(42.375,42.38]","(-71.07,-71.065]",59
"(42.3,42.305]","(-71.13,-71.125]",56
"(42.335,42.34]","(-71.06,-71.055]",56
"(42.34,42.345]","(-71.1,-71.095]",56
"(42.35,42.355]","(-71.15,-71.145]",56
"(42.3,42.305]","(-71.11,-71.105]",55
"(42.345,42.35]","(-71.145,-71.14]",55
"(42.35,42.355]","(-71.13,-71.125]",55
"(42.3,42.305]","(-71.105,-71.1]",54
"(42.305,42.31]","(-71.095,-71.09]",53
"(42.315,42.32]","(-71.095,-71.09]",53
"(42.335,42.34]","(-71.055,-71.05]",53
"(42.355,42.36]","(-71.16,-71.155]",53
"(42.385,42.39]","(-71.075,-71.07]",52
"(42.31,42.315]","(-71.125,-71.12]",51
"(42.325,42.33]","(-71.105,-71.1]",51
"(42.335,42.34]","(-71.105,-71.1]",51
"(42.315,42.32]","(-71.115,-71.11]",50
"(42.33,42.335]","(-71.06,-71.055]",50
"(42.325,42.33]","(-71.115,-71.11]",49
"(42.345,42.35]","(-71.11,-71.105]",49
"(42.31,42.315]","(-71.11,-71.105]",48
"(42.355,42.36]","(-71.125,-71.12]",48
"(42.32,42.325]","(-71.12,-71.115]",47
"(42.345,42.35]","(-71.135,-71.13]",47
"(42.35,42.355]","(-71.145,-71.14]",47
"(42.35,42.355]","(-71.125,-71.12]",44
"(42.35,42.355]","(-71.17,-71.165]",43
"(42.35,42.355]","(-71.11,-71.105]",43
"(42.355,42.36]","(-71.155,-71.15]",42
"(42.375,42.38]","(-71.075,-71.07]",42
"(42.345,42.35]","(-71.165,-71.16]",38
"(42.315,42.32]","(-71.12,-71.115]",37
"(42.35,42.355]","(-71.1,-71.095]",37
"(42.305,42.31]","(-71.055,-71.05]",36
"(42.34,42.345]","(-71.095,-71.09]",36
"(42.355,42.36]","(-71.12,-71.115]",36
"(42.36,42.365]","(-71.13,-71.125]",36
"(42.32,42.325]","(-71.11,-71.105]",35
"(42.355,42.36]","(-71.14,-71.135]",35
"(42.34,42.345]","(-71.15,-71.145]",34
"(42.36,42.365]","(-71.145,-71.14]",34
"(42.325,42.33]","(-71.11,-71.105]",32
"(42.355,42.36]","(-71.08,-71.075]",32
"(42.355,42.36]","(-71.17,-71.165]",31
"(42.355,42.36]","(-71.165,-71.16]",31
"(42.39,42.395]","(-71.07,-71.065]",31
"(42.34,42.345]","(-71.155,-71.15]",30
"(42.35,42.355]","(-71.165,-71.16]",30
"(42.325,42.33]","(-71.095,-71.09]",28
"(42.355,42.36]","(-71.145,-71.14]",26
"(42.38,42.385]","(-71.055,-71.05]",26
"(42.305,42.31]","(-71.115,-71.11]",25
"(42.35,42.355]","(-71.175,-71.17]",25
"(42.345,42.35]","(-71.055,-71.05]",24
"(42.345,42.35]","(-71.16,-71.155]",23
"(42.36,42.365]","(-71.135,-71.13]",23
"(42.385,42.39]","(-71.08,-71.075]",23
"(42.345,42.35]","(-71.15,-71.145]",22
"(42.37,42.375]","(-71.06,-71.055]",22
"(42.375,42.38]","(-71.08,-71.075]",22
"(42.375,42.38]","(-71.065,-71.06]",22
"(42.365,42.37]","(-71.055,-71.05]",21
"(42.315,42.32]","(-71.11,-71.105]",19
"(42.37,42.375]","(-71.135,-71.13]",19
"(42.31,42.315]","(-71.12,-71.115]",18
"(42.365,42.37]","(-71.075,-71.07]",18
"(42.375,42.38]","(-71.055,-71.05]",18
"(42.34,42.345]","(-71.16,-71.155]",17
"(42.315,42.32]","(-71.125,-71.12]",16
"(42.37,42.375]","(-71.075,-71.07]",16
"(42.3,42.305]","(-71.12,-71.115]",15
"(42.335,42.34]","(-71.16,-71.155]",15
"(42.335,42.34]","(-71.15,-71.145]",15
"(42.35,42.355]","(-71.16,-71.155]",15
"(42.335,42.34]","(-71.115,-71.11]",14
"(42.305,42.31]","(-71.1,-71.095]",13
"(42.34,42.345]","(-71.165,-71.16]",13
"(42.35,42.355]","(-71.105,-71.1]",13
"(42.365,42.37]","(-71.13,-71.125]",13
"(42.335,42.34]","(-71.17,-71.165]",12
"(42.38,42.385]","(-71.065,-71.06]",11
"(42.37,42.375]","(-71.13,-71.125]",10
"(42.3,42.305]","(-71.125,-71.12]",9
"(42.34,42.345]","(-71.17,-71.165]",9
"(42.36,42.365]","(-71.155,-71.15]",9
"(42.36,42.365]","(-71.125,-71.12]",9
"(42.38,42.385]","(-71.07,-71.065]",9
"(42.33,42.335]","(-71.165,-71.16]",8
"(42.365,42.37]","(-71.135,-71.13]",8
"(42.3,42.305]","(-71.095,-71.09]",7
"(42.34,42.345]","(-71.14,-71.135]",7
"(42.365,42.37]","(-71.12,-71.115]",7
"(42.39,42.395]","(-71.075,-71.07]",7
"(42.38,42.385]","(-71.06,-71.055]",6
"(42.3,42.305]","(-71.1,-71.095]",5
"(42.32,42.325]","(-71.125,-71.12]",5
"(42.33,42.335]","(-71.16,-71.155]",5
"(42.38,42.385]","(-71.085,-71.08]",5
"(42.3,42.305]","(-71.17,-71.165]",4
"(42.3,42.305]","(-71.14,-71.135]",4
"(42.305,42.31]","(-71.13,-71.125]",4
"(42.315,42.32]","(-71.13,-71.125]",4
"(42.345,42.35]","(-71.17,-71.165]",4
"(42.345,42.35]","(-71.13,-71.125]",4
"(42.36,42.365]","(-71.08,-71.075]",4
"(42.33,42.335]","(-71.155,-71.15]",3
"(42.335,42.34]","(-71.165,-71.16]",3
"(42.305,42.31]","(-71.135,-71.13]",2
"(42.31,42.315]","(-71.13,-71.125]",2
"(42.355,42.36]","(-71.175,-71.17]",2
"(42.3,42.305]","(-71.135,-71.13]",1
"(42.33,42.335]","(-71.17,-71.165]",1
"(42.345,42.35]","(-71.175,-71.17]",1
"(42.37,42.375]","(-71.055,-71.05]",1
