X_id,dispatch_ts,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,lat,long,deadzone_area
13670,2023-06-03 17:20:48+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
13756,2015-07-15 07:36:54+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
13815,2015-01-25 22:20:44+00,mv,Intersection,,RIVERWAY,BROOKLINE AVE,763443,2950168.8,42.34272875713498,-71.10318983518071,Fenway
14970,2016-08-30 15:43:33+00,mv,Intersection,,BOYLSTON ST,KILMARNOCK ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
15012,2017-08-12 06:57:53+00,mv,Street,YAWKEY WAY,RALPHS WAY,BROOKLINE AVE,764734.95,2951501.36,42.34628839542641,-71.09868175194686,Fenway
15201,2023-10-23 22:17:44+00,mv,Street,KILMARNOCK ST,BOYLSTON ST,PETERBOROUGH ST,764267.34,2950502.8,42.34370176843266,-71.0998834568897,Fenway
15544,2023-07-12 21:37:34+00,mv,Street,WESTERN AVE,KELLEY CT,RICHARDSON ST,752660.98,2957058.77,42.36199503673996,-71.14304307532952,Middle Left
15728,2018-06-27 13:41:00+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
15903,2019-09-04 17:34:47+00,mv,Street,FENWAY ,BROOKLINE AVE,HIGGINSON CIR,763576.82,2949518.25,42.34137998621273,-71.10191637244533,Fenway
16101,2018-09-11 07:23:44+00,mv,Other,,,,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
16193,2015-12-07 10:21:55+00,mv,Intersection,,BROOKLINE AVE,PILGRIM RD,763377.83,2950113.47,42.3425777617416,-71.10343184527804,Fenway
16510,2020-12-09 15:12:44+00,mv,Intersection,,JERSEY ST,VAN NESS ST,764778.34,2951152.65,42.34541131419919,-71.09823338129662,Fenway
16664,2019-01-07 12:22:02+00,mv,Intersection,,BROOKLINE AVE,FENWAY,763429.53,2950182.17,42.34276561687913,-71.10323942942463,Fenway
16818,2022-06-11 01:46:04+00,mv,Street,SOLDIERS FIELD RD,WESTERN AVE,TELFORD ST,752401.21,2957289.11,42.36282407931031,-71.14415882497345,Middle Left
16925,2020-08-26 05:13:38+00,mv,Street,FENWAY ,BROOKLINE AVE,HIGGINSON CIR,763576.82,2949518.25,42.34137998621273,-71.10191637244533,Fenway
17332,2017-10-14 17:27:15+00,mv,Intersection,,BROOKLINE AVE,FENWAY,763429.53,2950182.17,42.34276561687913,-71.10323942942463,Fenway
17880,2022-04-17 00:27:34+00,mv,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
18230,2021-10-31 09:50:36+00,mv,Street,CHARLESBANK RD,,,771754.87,2956802,42.36081712080691,-71.0723417953817,Esplanade
18384,2023-10-03 12:11:47+00,mv,Intersection,,BOYLSTON ST,KILMARNOCK ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
18439,2018-08-18 02:36:07+00,mv,Other,,,,771746.71,2956909.68,42.36111574584723,-71.07235012671512,Esplanade
18830,2016-08-01 02:06:54+00,mv,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
18966,2019-06-10 18:43:13+00,mv,Intersection,,PARK DR,BROOKLINE AVE,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
19004,2022-09-02 06:09:46+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
19045,2019-11-01 08:44:12+00,mv,Street,BROOKLINE AVE,BURLINGTON AVE,FULLERTON ST,763919.7,2951286.27,42.34530037453312,-71.10054716529363,Fenway
19168,2022-10-05 09:53:35+00,mv,Street,CHARLESBANK RD,,,771754.87,2956802,42.36081712080691,-71.0723417953817,Esplanade
19456,2021-09-20 18:22:18+00,mv,Street,WESTERN AVE,RICHARDSON ST,MACKIN ST,752352.06,2957120.81,42.3618038653587,-71.1440598817118,Middle Left
20009,2022-09-05 21:42:19+00,mv,Intersection,,LEO M BIRMINGHAM PKWY,WESTERN AVE,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
20970,2018-06-05 01:13:25+00,mv,Other,,,,771645.08,2957045.47,42.36148975414562,-71.07272363829279,Esplanade
21245,2019-07-24 12:38:34+00,mv,Street,PETERBOROUGH ST,KILMARNOCK ST,PARK DR,764045.27,2950241.21,42.342752183457314,-71.10087825399738,Fenway
21613,2020-09-04 08:05:16+00,mv,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
22105,2017-09-21 10:31:04+00,mv,Intersection,,BROOKLINE AVE,FULLERTON ST,764038.59,2950963.4,42.344901538578725,-71.10097304457929,Fenway
22433,2015-10-15 12:51:11+00,mv,Street,BROOKLINE AVE,BURLINGTON AVE,FULLERTON ST,763919.7,2951286.27,42.34530037453312,-71.10054716529363,Fenway
23122,2019-02-04 10:13:16+00,mv,Street,BROOKLINE AVE,FULLERTON ST,PARK DR,763760.07,2950510.33,42.343752931046,-71.10217479654982,Fenway
23527,2018-09-05 08:14:35+00,mv,Intersection,,WESTERN AVE,LEO M BIRMINGHAM PKWY,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
23610,2018-01-20 17:36:07+00,mv,Intersection,,BOYLSTON ST,KILMARNOCK ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
23623,2018-08-09 17:26:11+00,mv,Intersection,,SOLDIERS FIELD RD,WESTERN AVE,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
24087,2021-09-19 01:29:54+00,mv,Intersection,,SOLDIERS FIELD RD,WESTERN AVE,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
24225,2018-02-10 19:47:19+00,mv,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
24265,2023-07-05 21:31:00+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751777.44,2956430.47,42.36017668772949,-71.14661450449839,Middle Left
25051,2023-11-30 06:41:10+00,mv,Intersection,,BOYLSTON ST,BROOKLINE AVE,763598.97,2950391.2,42.34333703694542,-71.10260908157204,Fenway
25061,2021-08-01 21:28:54+00,mv,Intersection,,WESTERN AVE,LEO M BIRMINGHAM PKWY,751902.89,2956975.62,42.36154635470363,-71.14577119810968,Middle Left
25120,2016-08-31 08:39:07+00,mv,Street,BOYLSTON ST,KILMARNOCK ST,BROOKLINE AVE,764147.71,2950652.04,42.3438419513487,-71.10047204377864,Fenway
25122,2023-02-26 08:22:56+00,mv,Street,CHARLESBANK RD,,,771754.87,2956802,42.36081712080691,-71.0723417953817,Esplanade
25219,2023-09-22 10:27:56+00,mv,Intersection,,BOYLSTON ST,KILMARNOCK ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
25373,2015-04-14 08:33:12+00,mv,Intersection,,RIVERWAY,BROOKLINE AVE,763443,2950168.8,42.34272875713498,-71.10318983518071,Fenway
25521,2015-02-11 16:34:49+00,mv,Street,FENWAY NULL,BROOKLINE AVE,HIGGINSON CIR,763576.82,2949518.25,42.34137998621273,-71.10191637244533,Fenway
26210,2021-10-31 08:15:09+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
26883,2020-09-18 17:20:58+00,mv,Intersection,,SOLDIERS FIELD RD,WESTERN AVE,752044.78,2956989.14,42.36158183513133,-71.14524599382428,Middle Left
26959,2021-05-04 17:12:01+00,mv,Street,PARK DR,QUEENSBERRY ST,PETERBOROUGH ST,764069.41,2949927.08,42.34187941120378,-71.10119482716709,Fenway
27087,2022-03-28 01:14:40+00,mv,Intersection,,BOYLSTON ST,KILMARNOCK ST,764301.09,2950630.4,42.343984400648985,-71.10000782501184,Fenway
27255,2017-11-30 15:34:50+00,mv,Intersection,,KILMARNOCK ST,PETERBOROUGH ST,764417.15,2950314.65,42.34311647740015,-71.09958400550876,Fenway
27583,2018-07-15 12:35:46+00,mv,Street,LEO M BIRMINGHAM PKWY,CENTOLA ST,LOTHROP ST,751804.73,2956496.81,42.3603556139791,-71.14650419214902,Middle Left
27659,2024-05-16 19:56:30+00,mv,Street,KILMARNOCK ST,QUEENSBERRY ST,PARK DR,764535.25,2949873.98,42.3419413912683,-71.09901589115313,Fenway
27719,2020-11-13 10:52:17+00,mv,Street,CHARLESBANK RD,,,771753.33,2956796.09,42.36080244132861,-71.0723376846737,Esplanade
28142,2022-09-14 10:28:02+00,mv,Street,BOYLSTON ST,RICHARD B. ROSS WAY,KILMARNOCK ST,764545.49,2950797.24,42.344240818728814,-71.09900283950932,Fenway
28193,2023-02-13 08:17:29+00,mv,Street,CHARLESBANK RD,,,771652.04,2956831.65,42.36089730090592,-71.0727252634399,Esplanade
28228,2023-12-08 18:25:27+00,mv,Street,CHARLESBANK RD,,,771754.87,2956802,42.36081712080691,-71.0723417953817,Esplanade
