dropoff_centroid_location,counta_of_pickup_census_tract
-87.6735740325 42.0016981937,33
-87.6738072384 41.9292725315,3
-87.6747191345 41.8995897957,1
-87.6750627566 41.9123643542,2
-87.6750856208 41.8704150003,5
-87.6750951155 41.9160052737,1
-87.6753116216 41.906025969,11
-87.6758219283 41.935983574,1
-87.6759539319 41.9414224785,1
-87.6760627395 41.9450692053,1
-87.6761824959 41.9505456965,1
-87.676373281 41.9578433752,1
-87.6765780714 41.9651417087,3
-87.67861897 42.0091500631,7
-87.6786882109 41.9942660943,11
-87.6788459662 41.9725625375,4
-87.6793974791 41.8922767078,1
-87.6796002867 41.8995065476,2
-87.680162272 42.0160105638,83
-87.6806541164 41.8773834707,3
-87.6809803011 41.9357494591,1
-87.6810252307 41.9067713317,1
-87.681993542 41.9833308063,5
-87.6829962096 41.8441449609,1
-87.6836429218 41.9119723006,4
-87.683718102 41.957735565,4
-87.6838259399 41.9159097884,4
-87.6838545561 41.9631849658,1
-87.6840183712 41.9668340674,2
-87.6841474493 41.8847677845,4
-87.684198195 42.0013132491,31
-87.684490122 41.8994222543,2
-87.6846859492 41.9067077917,3
-87.6850821101 41.9212731053,1
-87.685362024 41.9286190509,2
-87.6859131333 42.0084870082,17
-87.6860768812 41.9942252345,20
-87.6860998978 41.972035672,1
-87.686845262 41.8174924901,1
-87.6871159899 42.0157199072,19
-87.6886749004 41.8713514005,1
-87.6891259086 41.8919483818,1
-87.6895798343 41.9066385418,1
-87.6897112748 41.91213208,4
-87.689951469 41.9216471318,3
-87.6907750098 41.9448137543,12
-87.6922563262 41.9157411934,2
-87.6936374936 42.0013159243,26
-87.6940010612 41.9725808001,4
-87.6940960217 41.9798553089,20
-87.6941973701 41.9005603836,2
-87.6944151909 41.9868086263,5
-87.6945323419 41.9208017043,4
-87.6945342821 41.9079652463,2
-87.6946307194 41.994059824,19
-87.6949637498 42.0085407611,13
-87.6950866748 41.9284649843,1
-87.6986740167 41.8783232529,1
-87.6988915914 41.885621155,1
-87.6993744036 41.8974257653,2
-87.6996630419 42.0156967498,39
-87.6997544065 41.9211259143,14
-87.6999685912 41.9284315635,2
-87.7006919027 41.8607622624,1
-87.7008239559 41.867823493,1
-87.701330291 41.9428725376,2
-87.701802904 42.0008748252,6
-87.701941074 41.9768117505,5
-87.7020071282 41.9504044107,1
-87.7020985409 41.9595267906,2
-87.702699356 41.8481796587,2
-87.7027334697 41.9645069548,1
-87.7036682732 41.9868950432,1
-87.7038545435 41.9357064711,3
-87.7046056338 42.0074469243,3
-87.7048934862 41.9941436461,9
-87.7049072355 41.9283913974,8
-87.7055526328 41.87161966,1
-87.7078663416 41.8615808621,3
-87.7088084239 41.8986992296,2
-87.7103591445 41.9210196071,1
-87.7108482084 41.9667749433,2
-87.7118213953 41.7382280867,1
-87.7119742544 41.9293297134,3
-87.7120363411 41.7455375706,2
-87.7122519178 41.8407574164,1
-87.7123574755 41.9336759885,2
-87.7128142315 41.9502120955,2
-87.7129731725 41.9592101847,1
-87.7132293348 41.9631157548,2
-87.7133688039 41.9865581808,2
-87.7134353285 41.9702449819,5
-87.7143824837 41.8533354466,1
-87.7164304157 41.9782942489,7
-87.717503858 41.942859303,1
-87.7177791062 41.8762234405,2
-87.7186707951 41.8917542026,4
-87.7189271854 41.8162644525,3
-87.7200993558 41.9155404081,1
-87.7201851765 41.8625777773,1
-87.7210167687 41.964652354,2
-87.7215382944 41.9063227109,1
-87.7215645012 41.9261558167,1
-87.7220523299 41.9337850524,1
-87.7223302976 41.9374017942,3
-87.7228222513 41.9573606908,1
-87.7231689742 41.969205937,1
-87.723804133 41.8301172027,2
-87.7239678299 41.9900642527,9
-87.724267094 41.9297590466,2
-87.7258910154 41.9646477329,1
-87.7310024842 41.9426995777,2
-87.7318327391 41.9653625868,2
-87.7322454045 41.8551039667,1
-87.7322869198 41.9152908359,1
-87.7324696377 41.8624142737,1
-87.7335180512 41.8952576428,1
-87.7338570193 41.9061678698,1
-87.7360839271 41.9808436155,1
-87.7377094687 41.8765230613,1
-87.7383939059 41.9587978628,3
-87.7389372047 41.97153938,2
-87.7400551895 41.991119555,4
-87.7427878769 41.9646361993,1
-87.7443896126 41.935214804,3
-87.7445755674 41.8767621307,1
-87.7447575193 41.8987004986,1
-87.7452828446 41.7966403342,1
-87.7471543225 41.9424881553,5
-87.747784377 41.8112835255,1
-87.7478743394 41.8841446699,5
-87.7509342894 41.785998518,17
-87.7509798603 41.9195645564,1
-87.7513626916 41.927819073,5
-87.7514743323 41.9061861044,1
-87.7520115624 41.8986254245,1
-87.7521052352 41.8766962871,4
-87.7524091367 41.9606756968,6
-87.7575974858 41.9944980381,2
-87.7598126285 41.8765928828,4
-87.759857019 41.970288894,4
-87.7600980476 41.8837934871,1
-87.7606043246 41.8985493636,1
-87.7607889112 41.920126404,1
-87.7617177214 41.9422905548,2
-87.7619249793 41.9770023043,2
-87.7622859818 41.9605182177,4
-87.7689702414 41.985916382,2
-87.7695533321 41.8754975076,1
-87.7698815509 41.88366198,10
-87.770122842 41.8909693802,1
-87.7705377644 41.9202651208,1
-87.7712319246 41.9348600057,2
-87.7714955258 41.9421694153,1
-87.7720438223 41.9567980899,1
-87.7722649905 41.9645680449,1
-87.7726169108 41.9729552005,4
-87.7734709274 41.9800778511,1
-87.7753675003 41.9129253704,1
-87.780270163 41.9201527839,3
-87.7815190801 41.9493532323,2
-87.7818419914 41.9567787036,1
-87.7819640228 41.964474648,2
-87.7880088189 41.9275798469,2
-87.7942692959 41.9956031347,1
-87.7948169935 41.9558592583,1
-87.7965237763 41.9418076152,1
-87.7968155178 41.9146023652,2
-87.7976006842 41.9255880881,3
-87.8127108296 41.9489087714,2
-87.8197891138 41.978068292,1
-87.8266761823 41.9805068217,1
-87.8415864319 41.9822729289,5
-87.8773053996 41.9827750091,16
-87.9030396611 41.9790708201,157
Grand Total,2149
