trip_bucket,n
"(0,10]",3684
"(10,20]",61628
"(20,30]",72283
"(30,40]",75142
"(40,50]",56859
"(50,60]",31865
"(60,70]",14837
"(70,80]",6679
"(80,90]",3111
"(90,100]",1452
"(100,110]",692
"(110,120]",327
"(120,130]",189
"(130,140]",103
"(140,150]",56
"(150,160]",35
"(160,170]",30
"(170,180]",27
"(180,190]",33
"(190,200]",24
"(200,210]",23
"(210,220]",16
"(220,230]",11
"(230,240]",4
"(240,250]",3
"(250,260]",2
"(270,280]",1
"(280,290]",1
"(300,400]",2
NA,943
