pickup_community_area,avg_per_mile,avg_per_second
1,4.065927366617887,0.019672313577377892
2,4.0140168924837925,0.01886871984103227
3,3.4579945264018215,0.01684102113162005
4,3.2992703829862973,0.01472133823984103
5,3.257162472671125,0.01467025031665716
6,3.264242703412278,0.01788650636391962
7,3.027807995223531,0.019233282116700088
8,2.9981584437540065,0.021535843802190976
9,2.74019037397332,0.016420627946049638
10,2.5025928974114025,0.014350766634251885
11,2.2686424860853793,0.013616551590134439
12,2.5868661871227285,0.015351298248113935
13,2.729283391161369,0.014689340358158316
14,2.7725112894536927,0.014236338818765761
15,2.123053783592315,0.013967921922834138
16,2.743223744192371,0.0145275780646023
17,2.053213405464906,0.01231532242148308
18,2.4185125844149895,0.013114260347352262
19,2.132849009550913,0.013634846049767215
20,2.4541240024347895,0.0147133841043242
21,2.3405031955020896,0.015900045568374824
22,2.443362020420459,0.01723840050757757
23,2.0706959808158176,0.013591952397936069
24,2.462148320857626,0.018403338063824933
25,1.9679844852629083,0.011595441145037811
26,1.9033266777014517,0.01273479137633902
27,2.140192975642302,0.013581783369876255
28,2.5194759099536546,0.020249884606759035
29,1.957269552754093,0.013921467613654882
30,2.0724427984340337,0.015456478786600296
31,2.86460970251611,0.019782745704793832
32,2.7877600591262346,0.019200703515588592
33,2.582877051728414,0.017762568962099098
34,2.258495436863882,0.01698393882227979
35,1.9950939562200793,0.013953066477118766
36,2.0561803640375067,0.014996529799589178
37,1.6488994754459396,0.012500262102590708
38,1.9777442743914253,0.014268354405661935
39,1.9570674785140765,0.014488778796487519
40,1.798177117836204,0.014607202797803108
41,2.1821671694758447,0.016739293269402277
42,2.131009435028844,0.01649201241574251
43,1.9408253038233187,0.014949292692968387
44,1.560106084196423,0.012876830773219335
45,1.663300336647616,0.01265606775981626
46,1.9487374464346183,0.013795190657719834
47,1.8037313432835822,0.012932049224184056
48,2.093536121673004,0.016781469064309662
49,1.7367857846161285,0.014258012127170787
50,1.6754907547777267,0.012842401251465596
51,1.783977015992176,0.012464274392099533
53,1.5915903279183516,0.014992850605687787
56,2.3694409989620406,0.019858133894451936
57,1.7241983412438642,0.01325857592385447
58,2.0430077487036837,0.013650850112795798
59,1.9643611033263817,0.013961484710126666
60,2.0273583751910813,0.014864129771159428
61,2.1517525590776962,0.01307205611175299
62,1.5767634854771784,0.012991452991452991
63,1.8632375737936615,0.01296959811995149
64,1.097972972972973,0.008044554455445545
65,1.62165156228628,0.011605116914808263
66,1.5305503115864278,0.011312108780705729
67,2.4456102306651823,0.015806845608521504
68,1.7130091631869693,0.012523940286545309
69,1.9189848117792088,0.016687560248233244
70,1.6103976069422863,0.012048827319294063
71,1.6461115144405627,0.013309978916858718
72,1.7334041850333097,0.01478411331387198
73,1.6421294540710627,0.015248347725729285
75,1.7052316198278261,0.013675274923345072
76,2.810789096471393,0.021792259656971586
77,3.5697259736245526,0.016738962928426436
NA,2.328018804640157,0.015024044894698154
