trip_bucket,n
"(0,10]",1239
"(10,20]",24115
"(20,30]",35068
"(30,40]",33498
"(40,50]",24840
"(50,60]",16510
"(60,70]",7603
"(70,80]",3041
"(80,90]",1231
"(90,100]",503
"(100,110]",188
"(110,120]",90
"(120,130]",57
"(130,140]",20
"(140,150]",15
"(150,160]",6
"(160,170]",8
"(170,180]",6
"(180,190]",5
"(190,200]",3
"(200,210]",4
"(210,220]",3
"(270,280]",1
"(300,400]",1
NA,458
