lon,lat,n
-87.7452432048,41.9526648947,1
-87.7452828446,41.7966403342,2
-87.7471543225,41.9424881553,11
-87.747784377,41.8112835255,1
-87.7478743394,41.8841446699,7
-87.7509342894,41.785998518,40
-87.7509798603,41.9195645564,1
-87.7510700613,41.9122848999,2
-87.7513626916,41.927819073,10
-87.7514743323,41.9061861044,4
-87.7516489576,41.9351139349,1
-87.7518036939,41.8914068203,3
-87.7520115624,41.8986254245,1
-87.7521052352,41.8766962871,6
-87.7524091367,41.9606756968,14
-87.7560677045,41.86911914,1
-87.7575974858,41.9944980381,6
-87.7598126285,41.8765928828,6
-87.759857019,41.970288894,14
-87.7600980476,41.8837934871,8
-87.7603493864,41.8910854233,4
-87.7606043246,41.8985493636,1
-87.7607889112,41.920126404,1
-87.7608129894,41.905820977,2
-87.7610398751,41.9261631049,2
-87.761463375,41.9349868535,2
-87.7617177214,41.9422905548,3
-87.7619249793,41.9770023043,7
-87.7622859818,41.9605182177,5
-87.7689702414,41.985916382,5
-87.7695533321,41.8754975076,2
-87.7698815509,41.88366198,12
-87.770122842,41.8909693802,2
-87.7705377644,41.9202651208,1
-87.7712319246,41.9348600057,2
-87.7714955258,41.9421694153,1
-87.7720438223,41.9567980899,2
-87.7722649905,41.9645680449,2
-87.7726169108,41.9729552005,5
-87.7734709274,41.9800778511,2
-87.7749947889,42.0020154637,2
-87.7753675003,41.9129253704,4
-87.780270163,41.9201527839,3
-87.7804606984,41.9274148582,3
-87.7809529189,41.9347280725,1
-87.7812865619,41.9420534671,2
-87.7815190801,41.9493532323,2
-87.7818419914,41.9567787036,1
-87.7819640228,41.964474648,2
-87.7830132797,41.9895838002,1
-87.7880088189,41.9275798469,2
-87.7942692959,41.9956031347,3
-87.7948169935,41.9558592583,1
-87.7965237763,41.9418076152,2
-87.7968155178,41.9146023652,2
-87.7976006842,41.9255880881,3
-87.8127108296,41.9489087714,2
-87.8130981301,42.0056080233,1
-87.8180418313,41.9889673837,1
-87.8197891138,41.978068292,1
-87.8266761823,41.9805068217,1
-87.8415864319,41.9822729289,8
-87.8773053996,41.9827750091,23
-87.9030396611,41.9790708201,396
NA,NA,4
