SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,STArea__,STLength__,Shape_Length,Shape_Area,shape_wkt
Wilson Park,City of Boston,NA,1,Allston-Brighton,0.09718371,10 Wilson Park,Open Space District,"Malls, Squares & Plazas",PWD,BPRD,N,X,NA,PWD,NA,PARK_Maintenance_Region 4,2000,YES,02135,2102093500,0,NA,NA,8.68752904593e-4,4.2964839e-8,NA
James H. Roberts Playground,City of Boston,A97,3,Allston-Brighton,1.0041349,120 Hooker Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Hooker-Sorrento Street Playground; Roberts Playground,BPRD,156,PARK_Maintenance_Region 4,156,YES,02134,2200030000,0,NA,NA,0.00276645580217,4.4405681e-7,NA
Smith Playground,City of Boston,A97/LWCF,3,Allston-Brighton,15.02521889,235 Western Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,William F. Smith Playground; North Brighton Playground,BPRD,284,PARK_Maintenance_Region 4,284,YES,02134,2200542000,1894,NA,NA,0.011216155134474,6.645157199e-6,NA
Fern Square,City of Boston,A97,1,Allston-Brighton,0.04450912,1 Fern Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"James F. Collins Square, Franklin Square",BPRD,115,PARK_Maintenance_Region 4,115,YES,02134,2201194000,0,NA,NA,6.72302150916e-4,1.9683207e-8,NA
Ringer Playground,City of Boston,A97/LWCF/USH,3,Allston-Brighton,10.26308381,85 Allston Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Stanley A. Ringer Playground,BPRD,259,PARK_Maintenance_Region 4,259,YES,"02134, 02135",2101101000,1916,NA,NA,0.012526446598524,4.537983926e-6,NA
McKinney Playground,City of Boston,A97/USH,3,Allston-Brighton,5.89186126,74 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,193,PARK_Maintenance_Region 4,193,YES,02135,2202540000,1930,NA,NA,0.006924114855163,2.605351444e-6,NA
Hobart Park,City of Boston,A97/LWCF,3,Allston-Brighton,0.80891273,85 Hobart Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,154,PARK_Maintenance_Region 4,154,YES,02135,2202935000,1970,NA,NA,0.002445550512477,3.57702489e-7,"MULTIPOLYGON (((-71.161016076999942 42.356046263000053, -71.161443334999944 42.356116123000049, -71.161532878999935 42.355759964000072, -71.161623722999934 42.355410110000037, -71.161082385999975 42.355314976000045, -71.161016076999942 42.356046263000053)))"
Market Street Burying Ground,City of Boston,Ch114S7/A97,4,Allston-Brighton,0.39538015,380 Market Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,NA,BPRD,188,PARK_Cemetery Maintenance Request,188,YES,02135,2202372000,1764,NA,NA,0.00176912377972,1.7482317e-7,"MULTIPOLYGON (((-71.152012835999983 42.350596933000077, -71.152455938999935 42.350624111000059, -71.152676389999954 42.350285279000047, -71.152373747999945 42.350274641000055, -71.152098772999977 42.350264897000045, -71.152012835999983 42.350596933000077)))"
Jackson Square,City of Boston,A97,1,Allston-Brighton,0.12032316,58 Chestnut Hill Avenue,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Viola Square,BPRD,162,PARK_Maintenance_Region 4,162,YES,02135,2102849000,0,NA,NA,8.71358697336e-4,5.3199101e-8,NA
Reilly Playground,Commonwealth of Massachusetts,A97,3,Allston-Brighton,6.93136467,355 Chestnut Hill Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,NULL,X,X,NA,NA,NA,INFO_Reallocation From Dept,3000,YES,02135,NA,0,NA,NA,0.008311602647853,3.064135437e-6,NA
Boyden Park,Commonwealth of Massachusetts,A97,1,Allston-Brighton,0.48183071,2200 Commonwealth Avenue,Institutional District,"Malls, Squares & Plazas",DCR,NULL,X,X,NA,NA,NA,INFO_Reallocation From Dept,3001,YES,02467,NA,0,NA,NA,0.001877775947482,2.13012293e-7,NA
Evergreen Cemetery,City of Boston,Ch114S7/A97,4,Allston-Brighton,20.48819288,2060 Commonwealth Avenue,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,NA,BPRD,110,PARK_Cemetery Maintenance Request,110,YES,02135,"2102444000,2102444001,2102443001",1848,NA,NA,0.01286868501636,9.057495412e-6,NA
Hardiman Playground,City of Boston,A97,3,Allston-Brighton,1.47314994,380 Faneuil Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,PFC Kevin B. Hardiman Playground; Tar Park,BPRD,143,PARK_Maintenance_Region 4,143,YES,02135,2203801020,1948,NA,NA,0.003489442913872,6.51384414e-7,"MULTIPOLYGON (((-71.165695361999951 42.351016009000034, -71.165679121999972 42.351126427000054, -71.165660560999981 42.351239540000051, -71.165643114999966 42.351348243000075, -71.165627000999962 42.351457762000052, -71.165609550999989 42.351567276000026, -71.165581009999983 42.351754362000065, -71.166311227999984 42.351541765000036, -71.166733620999935 42.351401285000065, -71.166799148999985 42.351035238000065, -71.165705302999982 42.350949237000066, -71.165695361999951 42.351016009000034)))"
Rogers Park,City of Boston,A97,3,Allston-Brighton,8.17184062,30 Rogers Park Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Thomas Galvin Park; Rogers-Galvin Park; Galvin Ball Fields,BPRD,267,PARK_Maintenance_Region 4,267,YES,02135,2205190000,1899,NA,NA,0.008708357921504,3.61314452e-6,NA
Chandler Pond,City of Boston,A97/WPA,3,Allston-Brighton,19.0341645,95 Lake Shore Road,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Alice E. Gallagher Memorial Park; Gallagher Memorial Park,BPRD,128,PARK_Maintenance_Region 4,128,YES,02135,"2205651000,2205530000,2205550000",1943,NA,NA,0.013492903256402,8.415549168e-6,NA
Mullen Square,City of Boston,A97,1,Dorchester,0.22676974,24 Edison Green,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Drohan Square, Edison Green",BPRD,210,PARK_Maintenance_Region 2,210,YES,02125,1301906000,0,NA,NA,0.0013954810957,1.00220856e-7,NA
Dorchester North Burying Ground,City of Boston,Ch114S7/A97,4,Dorchester,3.30419666,611 Columbia Road,Commercial/Office/Business District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,NA,BPRD,089,PARK_Cemetery Maintenance Request,89,YES,02125,"0703999000,0703999010",1633,NA,NA,0.00580555249571,1.460238924e-6,NA
Downer Avenue Playground,City of Boston,A97,3,Dorchester,0.77917122,40 Downer Avenue,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,092,PARK_Maintenance_Region 2,92,YES,02125,1301674000,1972,NA,NA,0.003107251727866,3.44312445e-7,"MULTIPOLYGON (((-71.061115989999962 42.311416902000076, -71.062118366999982 42.311947234000058, -71.062376448999942 42.311824629000057, -71.062265866999951 42.311773543000072, -71.062141073999953 42.311670036000066, -71.061225563999983 42.311123480000049, -71.061095627999975 42.311411910000061, -71.061115989999962 42.311416902000076)))"
Quincy/Stanley Play Area,City of Boston,A97,3,Dorchester,0.37525176,21 Stanley Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Quincy Stanley Play Area; Stanley Street Play Area,BPRD,251,PARK_Maintenance_Region 5,251,YES,02125,1502974000,1955,NA,NA,0.001736944934808,1.65820734e-7,"MULTIPOLYGON (((-71.068430889999945 42.311144408000075, -71.068706904999942 42.311318464000067, -71.069133816999965 42.310947748000046, -71.068758554999988 42.310832213000026, -71.068430889999945 42.311144408000075)))"
Deer Street Park,City of Boston,A97,3,Dorchester,0.24657521,39 Deer Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,080,PARK_Maintenance_Region 2,80,YES,02125,1502549000,0,NA,NA,0.00152647514844,1.08959675e-7,NA
Savin Hill Beach,Commonwealth of Massachusetts,A97,2,Dorchester,3.4340132,68 Denny Street,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,NA,NA,NA,INFO_Reallocation From Dept,3002,YES,02125,NA,0,NA,NA,0.012300422698073,1.517366697e-6,NA
Coppens Square,City of Boston,A97,1,Dorchester,0.35704995,325 Bowdoin Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Rev. Francis X. Coppens Square; Eaton Square,BPRD,070,PARK_Maintenance_Region 2,70,YES,02122,1502942500,0,NA,NA,0.001598944964158,1.57771008e-7,NA
Old Harbor Park,Commonwealth of Massachusetts,A97/LWCF/WPA/Ch91,2,Dorchester,8.04457384,NA,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,NA,NA,NA,INFO_Reallocation From Dept,3003,YES,02125,NA,0,NA,NA,0.022485273068617,3.555299337e-6,NA
McConnell Park,City of Boston,A97/LWCF,3,Dorchester,6.76236509,30 Denny Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Savin Hill Playground,BPRD,191,PARK_Maintenance_Region 2,191,YES,02125,"1302238000,1302237000",1899,NA,NA,0.010688509671292,2.98814037e-6,NA
Boston Common,City of Boston,A97/LWCF/NHL,3,Back Bay/Beacon Hill,45.74103121,139 Tremont St (Visitor Info Center) 1B Charles St (Earl of Sandwich)  38 Beacon St (Frog Pond) 167 Tremont St (Parkman Bandstand) 115 Boylston St (Deer Park),Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,The Common,BPRD,027,PARK_Maintenance_Region 1,27,YES,02108,"0500812001,0500812001,0500812000,0500812001,0500812001",1634,NA,NA,0.020296345585127,2.0226548099e-5,NA
Central Burying Ground,City of Boston,A97/NHL/PR/BL,4,Back Bay/Beacon Hill,1.48917289,125 Boylston Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,NA,BPRD,047,PARK_Cemetery Maintenance Request,47,YES,02108,0500813000,1756,NA,NA,0.003721716221243,6.58485857e-7,"MULTIPOLYGON (((-71.065333671999952 42.353222771000048, -71.066067793999935 42.353216315000054, -71.066857863999985 42.352615425000067, -71.065597360999959 42.352539723000064, -71.065333671999952 42.353222771000048)))"
Public Garden,City of Boston,A97/LWCF,3,Back Bay/Beacon Hill,23.50813336,4 Charles Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,246,PARK_Maintenance_Region 1,246,YES,"02108, 02116",0501259000,1823,NA,NA,0.013113145730119,1.0395074214e-5,NA
Granary Burying Ground,City of Boston,A97/NRHP/PR/BL,4,Downtown,1.8568344,95 Tremont Street,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,NA,BPRD,137,PARK_Cemetery Maintenance Request,137,YES,02108,0304676000,1660,NA,NA,0.003769754035297,8.21117982e-7,NA
Phillips Street Play Area,City of Boston,A97,3,Back Bay/Beacon Hill,0.11527569,21 Phillips Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,237,PARK_Maintenance_Region 1,237,YES,02114,0502198000,1941,NA,NA,0.00103895833693,5.0978866e-8,"MULTIPOLYGON (((-71.067285531999971 42.36039303900003, -71.067295481999963 42.360517857000048, -71.067237803999944 42.360520251000025, -71.067183773999943 42.360521848000076, -71.067189087999964 42.360614508000026, -71.067192412999987 42.360660885000073, -71.06729816099994 42.360658582000042, -71.067298282999957 42.360640757000056, -71.067441308999946 42.36063688400003, -71.067438398999968 42.360529918000054, -71.067434499999933 42.360389999000063, -71.067285531999971 42.36039303900003)))"
Myrtle Street Playground,City of Boston,A97/LWCF,3,Back Bay/Beacon Hill,0.1607404,50 Myrtle Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,212,PARK_Maintenance_Region 1,212,YES,02114,0501878000,1949,NA,NA,0.001138601323177,7.1083264e-8,"MULTIPOLYGON (((-71.065898692999951 42.359102303000043, -71.065900369999952 42.359285902000067, -71.066289678999965 42.359278345000064, -71.06628072999996 42.359095081000078, -71.066254235999963 42.359095466000042, -71.066176302999963 42.359096690000058, -71.066111595999985 42.359097495000071, -71.066056561999972 42.359097958000063, -71.065946043999986 42.35910004200008, -71.065898692999951 42.359102303000043)))"
Copley Square Park,City of Boston,A97,1,Back Bay/Beacon Hill,1.8544401,560 Boylston Street,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Copley Square,BPRD,069,PARK_Maintenance_Region 1,69,YES,02116,0401089000,0,NA,NA,0.004715584919351,8.19958687e-7,NA
Clarendon Street Playlot,City of Boston,A97,3,Back Bay/Beacon Hill,0.32391646,260 Clarendon Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Commonwealth Playground,BPRD,058,PARK_Maintenance_Region 1,58,YES,02116,0502921000,1975,NA,NA,0.00153119877577,1.43229486e-7,"MULTIPOLYGON (((-71.076306909999971 42.352682605000041, -71.07646325199994 42.35300395400003, -71.076857600999972 42.352898381000045, -71.076701256999968 42.352577030000077, -71.076306909999971 42.352682605000041)))"
DeFilippo Playground,City of Boston,A97,3,Downtown,1.11810734,135 Prince Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Pvt. John DeFilippo Playground; Snow Hill Street Playground; """"The Gassy""""",BPRD,081,PARK_Maintenance_Region 1,81,YES,02113,0301936000,1937,NA,NA,0.00300630348291,4.94511876e-7,"MULTIPOLYGON (((-71.056572315999972 42.366157691000069, -71.056586189999962 42.36641897800007, -71.056575188999943 42.366677216000028, -71.05654171599997 42.367043534000061, -71.057413679999968 42.366612959000065, -71.057084778999979 42.366251236000039, -71.05706306899998 42.36622892400004, -71.056980138999961 42.36616394300006, -71.056728297999939 42.366001465000068, -71.056572315999972 42.366157691000069)))"
Copp's Hill Burying Ground,City of Boston,A97/NRHP/PR,4,Downtown,1.98157566,Opposite 34 Hull Str.,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,NA,BPRD,071,PARK_Cemetery Maintenance Request,71,YES,02113,0302160000,0,NA,NA,0.004189954665521,8.76415684e-7,"MULTIPOLYGON (((-71.055148494999969 42.366998608000074, -71.055488525999976 42.367174578000061, -71.055427492999968 42.367308035000065, -71.055445455999973 42.367325931000039, -71.055360121999968 42.367496656000071, -71.055439134999972 42.367534323000029, -71.056319076999955 42.367985074000046, -71.056421376999936 42.367108677000033, -71.055369275999965 42.366712539000048, -71.055148494999969 42.366998608000074)))"
Copp's Hill Terrace,City of Boston,A97/NRHP,1,Downtown,0.61203752,536 Commericial Str.,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,NA,BPRD,072,PARK_Maintenance_Region 1,72,YES,02113,0301982000,0,NA,NA,0.002254452254266,2.70695438e-7,"MULTIPOLYGON (((-71.054878002999942 42.367878764000068, -71.055703188999985 42.368087851000041, -71.055755689999955 42.367803742000035, -71.055191726999965 42.367514731000028, -71.054878002999942 42.367878764000068)))"
Foster Street Play Area,City of Boston,A97,3,Downtown,0.10758407,15 Foster Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Foster Street Playground; Foster Street Park,BPRD,123,PARK_Maintenance_Region 1,123,YES,02113,0302026000,1930,NA,NA,9.63203171079e-4,4.7582648e-8,"MULTIPOLYGON (((-71.053926821999937 42.367446039000072, -71.053950569999984 42.367454869000028, -71.053923409999982 42.367491607000034, -71.05412421799997 42.367564496000057, -71.054198065999969 42.367476214000078, -71.054134322999971 42.367449128000032, -71.054200548999972 42.367349320000073, -71.054144214999951 42.367325526000059, -71.054036414999985 42.367282227000032, -71.053926821999937 42.367446039000072)))"
Charter Street Park,City of Boston,A97,3,Downtown,0.23871056,21P Charter Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,052,PARK_Maintenance_Region 1,52,YES,02113,"0302067001,0302068000",1940,NA,NA,0.001541119703598,1.05576605e-7,NA
Paul Revere Mall,City of Boston,A97,1,Downtown,0.85716379,370 Hanover Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,The Prado;  Webster Avenue Playground,BPRD,231,PARK_Maintenance_Region 1,231,YES,02113,"0302074000,0302150000",1925,NA,NA,0.004015261416971,3.79099135e-7,NA
Polcari Park,City of Boston,A97,3,Downtown,0.27894034,45 Prince Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Capt. Louis Polcari Park; Prince Street Playground,BPRD,240,PARK_Maintenance_Region 1,240,YES,02113,0302320000,1897,NA,NA,0.001691777689911,1.23366116e-7,"MULTIPOLYGON (((-71.05411944399998 42.365162661000056, -71.05429331199997 42.365285869000047, -71.054495340999949 42.365110235000031, -71.054787459999943 42.36487396900003, -71.05461739499998 42.364768446000028, -71.05440729299994 42.364938355000049, -71.05411944399998 42.365162661000056)))"
Cutillo Park,City of Boston,A97/LWCF,3,Downtown,0.2893563,10 Stillman Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Vincent Cutillo Park; Stillman Street Park,BPRD,077,PARK_Maintenance_Region 1,77,YES,02113,0302466000,1917,NA,NA,0.001648273888358,1.27969456e-7,NA
City Hall Plaza,BRA,A97,1,Downtown,6.01399782,1 City Hall Square,Open Space District,"Malls, Squares & Plazas",NULL,NULL,X,X,City Hall Square,NA,NA,INFO_Reallocation From Dept,2141,YES,02203,NA,0,NA,NA,0.009338410435291,2.659583221e-6,NA
Norman Leventhal Park,Private,Agrmnt,3,Downtown,1.54089486,130 Congress Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BRA,Private,X,X,Post Office Square Park,NA,NA,INFO_Reallocation From Dept,7008,YES,02110,NA,1992,NA,NA,0.003374754583085,6.81391545e-7,"MULTIPOLYGON (((-71.054998052999963 42.356078424000032, -71.055756066999948 42.356819750000057, -71.056150443999968 42.35674126400005, -71.056109216999971 42.356478096000046, -71.055920062999974 42.356033001000071, -71.055847249999943 42.355931466000072, -71.055621765999945 42.35571249700007, -71.054998052999963 42.356078424000032)))"
Angell Memorial Square,City of Boston,A97,1,Downtown,0.1766452,152-158 Congress Street,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,NA,BPRD,010,PARK_Maintenance_Region 1,10,YES,02109,ROW,0,NA,NA,0.001220843527453,7.8114257e-8,NA
Union Street Park,BRA,A97,1,Downtown,0.50833624,Between Union Street & Congress Street opposite City Hall,Open Space District,"Malls, Squares & Plazas",NULL,BPRD,X,X,Holocaust Memorial;  Curley Memorial,BRA,NA,PARK_Maintenance_Region 1,2144,YES,02108,NA,0,NA,NA,0.002610287300947,2.24805688e-7,NA
Langone Park,City of Boston,A97/Ch91/WPA,3,Downtown,2.18386821,529-543 Commercial Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Joseph & Clementine Langone Park,BPRD,175,PARK_Maintenance_Region 1,175,YES,02109,"0303056000,0303057000,0303058000",1973,NA,NA,0.004597300592637,9.65906308e-7,NA
Prince Street Park,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Downtown,1.28400592,Commercial Street,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,NA,NA,NA,INFO_Reallocation From Dept,3004,YES,02109,NA,0,NA,NA,0.006963590448289,5.6789813e-7,NA
Rachel Revere Square,City of Boston,A97,1,Downtown,0.08036249,200 North Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,NA,BPRD,252,PARK_Maintenance_Region 1,252,YES,02113,0303252000,1945,NA,NA,7.64940239046e-4,3.5540857e-8,"MULTIPOLYGON (((-71.053374547999965 42.363471264000054, -71.053435615999945 42.363575338000032, -71.053484519999984 42.363654679000035, -71.053625875999955 42.363569777000066, -71.053651382999988 42.363508858000046, -71.053613888999962 42.363439648000053, -71.053374547999965 42.363471264000054)))"
Tai Tung Park,City of Boston,A97,3,Downtown,0.03349556,110 Tyler Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Tai Tung Tot Lot,BPRD,299,PARK_Maintenance_Region 1,299,YES,02111,0305123000,1991,NA,NA,6.41152149296e-4,1.4810225e-8,NA
Leo F. McCarthy Playground,City of Boston,A97,3,Charlestown,1.33873877,10 Eden Street,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"McCarthy-Eden Playground, Leo McCarthy Playground, Edwards Playground",BPRD,101,PARK_Maintenance_Region 1,101,YES,02129,"0201032000,0201033000,0201031000,0201021010",1991,NA,NA,0.003346059047152,5.92213798e-7,NA
City Square,Commonwealth of Massachusetts,A97/LL,1,Charlestown,1.2087632,NA,Open Space District,"Malls, Squares & Plazas",DCR,NULL,X,X,NA,NA,NA,INFO_Reallocation From Dept,3005,YES,02129,NA,0,NA,NA,0.003018721154079,5.34650865e-7,NA
John Harvard Mall,City of Boston,A97,1,Charlestown,0.8129293,7D Main Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Harvard Mall,BPRD,145,PARK_Maintenance_Region 1,145,YES,02129,0203709000,1943,NA,NA,0.00306126180455,3.59574543e-7,NA
Paul Revere Park,Commonwealth of Massachusetts,A97,2,Charlestown,6.40064165,NA,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,NA,NA,NA,INFO_Reallocation From Dept,3006,YES,02129,NA,0,NA,NA,0.007226634827143,2.831008034e-6,NA
Charlestown H.S. Athletic Fields,City of Boston,Ch91/WPA,3,Charlestown,10.41694906,39 Terminal Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPS,BPRD,N,X,Little Mystic Harborwalk,BPS,051,PARK_Maintenance_Region 1,51,YES,02129,0202735000,0,NA,NA,0.019633384886021,4.60822555e-6,NA
Ryan Playground,City of Boston,A97/USH/Ch91/WPA,3,Charlestown,8.77654233,75 Alford Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,John J. Ryan Playground; Charlestown Playground,BPRD,274,PARK_Maintenance_Region 1,274,YES,02129,0201830000,1891,NA,NA,0.009123190423807,3.882853251e-6,"MULTIPOLYGON (((-71.069863427999962 42.386447444000055, -71.071991931999946 42.38759903700003, -71.072273831999951 42.387014557000043, -71.072618825999939 42.384865398000045, -71.072548747999974 42.38485514100006, -71.072574187999976 42.384769022000057, -71.072632714999941 42.384778855000036, -71.072667621999983 42.384561381000026, -71.071711218999951 42.385239118000072, -71.071649198999978 42.385188382000081, -71.069863427999962 42.386447444000055)))"
Barry Playground,City of Boston,A97/PARC/Ch91/WPA,3,Charlestown,3.55132827,41 Medford Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,William. J. Barry Playground; Mystic Playground,BPRD,015,PARK_Maintenance_Region 1,15,YES,02129,0202733000,1897,NA,NA,0.00552753843751,1.57099179e-6,"MULTIPOLYGON (((-71.054233229999966 42.379931633000069, -71.054285987999947 42.379800231000047, -71.054537484999969 42.379171750000069, -71.054142258999946 42.379149850000033, -71.053376382999943 42.378739734000078, -71.052358980999941 42.379790255000046, -71.052345130999981 42.379804192000051, -71.053315874999953 42.379958310000063, -71.053358212999967 42.379910700000039, -71.053550562999988 42.379896390000056, -71.053546190999953 42.379931914000053, -71.054233229999966 42.379931633000069)))"
Doherty Playground,City of Boston,A97/USH,3,Charlestown,3.75246946,349 Bunker Hill Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,087,PARK_Maintenance_Region 1,87,YES,02129,"0201465000,0201503000",0,NA,NA,0.005319465348316,1.660037617e-6,NA
St Francis De Sales Cemetery,Private,NA,4,Charlestown,1.79988946,313 Bunker Hill Street,Residential District,Cemeteries & Burying Grounds,Private,NULL,N,NA,NA,NA,NA,INFO_Reallocation From Dept,7010,NO,02129,NA,0,NA,NA,0.004262410313432,7.96237396e-7,NA
Bunker Hill Monument,United States of America,A97/NRHP/PR,1,Charlestown,3.77625126,Monument Square,Residential District,"Malls, Squares & Plazas",National Park Service,National Park Service,X,X,Monument Square,NPS,NA,INFO_Reallocation From Dept,5000,YES,02129,NA,0,NA,NA,0.005217282526268,1.670404384e-6,"MULTIPOLYGON (((-71.059843177999937 42.376613507000059, -71.061161595999977 42.377071727000043, -71.061511744999962 42.376405240000054, -71.061731514999963 42.376001095000049, -71.060416794999981 42.375541467000062, -71.059843177999937 42.376613507000059)))"
Phipps Street Burying Ground,City of Boston,Ch114S7/A97,4,Charlestown,1.72179035,25 Phipps Street,Residential District,Cemeteries & Burying Grounds,BPRD,BPRD,X,A,NA,BPRD,238,PARK_Cemetery Maintenance Request,238,YES,02129,0202341000,1630,NA,NA,0.003577986125287,7.61624377e-7,NA
Winthrop Square,City of Boston,A97,1,Charlestown,0.90085847,55 Winthrop Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Training Field,BPRD,326,PARK_Maintenance_Region 1,326,YES,02129,0203340000,0,NA,NA,0.002486458563371,3.98477592e-7,NA
Hayes Square,City of Boston,A97,1,Charlestown,0.17471929,45 Bunker Hill Street,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,NA,BPRD,148,PARK_Maintenance_Region 1,148,YES,02129,0202640000,0,NA,NA,0.001216392384528,7.7286574e-8,NA
Charlestown Sprouts Garden,City of Boston,NA,5,Charlestown,0.47658789,69 Terminal Street,Open Space District,Community Gardens,NULL,NULL,N,NA,NA,NA,NA,PARK_Maintenance_Region 1,2006,NO,02129,NA,0,NA,NA,0.001844624135383,2.10834547e-7,"MULTIPOLYGON (((-71.05801848599998 42.382028536000064, -71.058563525999944 42.382083402000035, -71.058568043999969 42.382062353000038, -71.058584048999933 42.381760712000073, -71.058497218999946 42.381719364000048, -71.058374015999959 42.381678380000039, -71.057970377999936 42.381733545000031, -71.057923188999951 42.381761721000032, -71.05792302499998 42.381785216000026, -71.058012141999939 42.382012416000066, -71.05801848599998 42.382028536000064)))"
East Boston Memorial Park I,City of Boston,A97/UPARR,3,East Boston,17.6816391,143 Porter St,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Satori Stadium,BPRD,098,PARK_Maintenance_Region 1,98,YES,02128,"0104164001,0104164004,0104164003,0104164002,0104164006,0104164007,0104164008",0,NA,NA,0.02307386066532,7.820789746e-6,NA
Noyes Playground,City of Boston,A97/LWCF,3,East Boston,8.31709163,86 Boardman Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,216,PARK_Maintenance_Region 1,216,YES,02128,0100524000,1909,NA,NA,0.008657063970732,3.679681749e-6,NA
Temple Ohabei Shalom Cemetery,Private,NA,4,East Boston,2.33966572,147 Wordsworth Street,Open Space District,Cemeteries & Burying Grounds,Private,NULL,N,NA,NA,NA,NA,INFO_Reallocation From Dept,7011,NO,02128,NA,0,NA,NA,0.004092693777021,1.035037453e-6,"MULTIPOLYGON (((-71.014443128999972 42.382178065000062, -71.01419655899997 42.38235969200008, -71.014674131999982 42.383075366000071, -71.015670929999942 42.382703607000053, -71.015218129999937 42.382034316000045, -71.015062471999954 42.381810028000075, -71.015023160999988 42.38175818600007, -71.014443128999972 42.382178065000062)))"
