SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,STArea__,STLength__,Shape_Length,Shape_Area,shape_wkt
Beauford Play Area,City of Boston,A97,3,Roxbury,0.23574211,127 Howard Avenue,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,018,PARK_Maintenance_Region 5,18,YES,02125,"1300645000,1300643000,1300642000,1300644000",1965,NA,NA,0.001341419182421,1.04180741e-7,"MULTIPOLYGON (((-71.075473553999984 42.315848669000047, -71.075464101999955 42.315963775000057, -71.075737406999963 42.31602263700006, -71.075837537999973 42.316045035000059, -71.075930399999947 42.315812363000077, -71.075837500999967 42.315791466000064, -71.075711923999961 42.315763213000025, -71.075485250999975 42.315712215000076, -71.075473553999984 42.315848669000047)))"
Children's Park,City of Boston,A97,3,Dorchester,0.3485543,81-85 Intervale Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,055,PARK_Maintenance_Region 5,55,YES,02121,"1400374000,1400372020,1400373000,1400372000",1974,NA,NA,0.001757693633118,1.54022458e-7,NA
Winthrop Playground,City of Boston,A97/PARC/UPARR,3,Roxbury,1.56102706,21 Danube Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,325,PARK_Maintenance_Region 5,325,YES,02125,1300477000,1911,NA,NA,0.003381425245093,6.89874512e-7,"MULTIPOLYGON (((-71.075537793999956 42.317533039000068, -71.075420658999974 42.31781502900003, -71.07614707099998 42.317994979000048, -71.076548055999979 42.317098320000071, -71.076234996999972 42.31705620300005, -71.076135366999949 42.317043411000043, -71.075806672999988 42.316999434000024, -71.075537793999956 42.317533039000068)))"
Denton Square,City of Boston,A97,1,Roxbury,0.07436144,1 Wayland Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,NA,BPRD,086,PARK_Maintenance_Region 5,86,YES,02125,1301019000,0,NA,NA,9.16425673361e-4,3.2861054e-8,NA
Ceylon Park,City of Boston,A97/USH,3,Dorchester,4.6435663,105 Ceylon Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,049,PARK_Maintenance_Region 5,49,YES,02121,"1400147000,1400124000,1400120000,1400123000,1400122000,1400121000",1923,NA,NA,0.008207250783413,2.051930985e-6,NA
Hannon Playground,City of Boston,A97/AUL,3,Roxbury,1.96737739,621 Dudley Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Mary Hannon Plgd,BPRD,141,PARK_Maintenance_Region 5,141,YES,02125,"1300172000,1300173000,1300171000,1300170000",1940,NA,NA,0.003772295281469,8.6948537e-7,NA
Portal Park,MassDOT,A97/CAT Mit,1,Downtown,0.36661671,Causeway St above O'Neill Tunnel Entrance Portal (Zakim Bridge Approach),Open Space District,"Malls, Squares & Plazas",DCR,DCR,X,X,O'Neill Tunnel Portal Park,NA,NA,INFO_Reallocation From Dept,4082,YES,02114,NA,0,NA,NA,0.001877307566167,1.62144928e-7,NA
Healy Playground,City of Boston,A97/USH,3,Roslindale,9.60455983,160 Florence Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,149,PARK_Maintenance_Region 4,149,YES,02131,1903209000,1902,NA,NA,0.009362857500238,4.242694074e-6,NA
Menino Park,City of Boston,A97/WPA/Ch91,3,Charlestown,1.23669997,First Avenue & Sixteenth Street,Special District,"Parks, Playgrounds & Athletic Fields",BPRD,Private,X,X,"Mayor Thomas M. Menino Park, Parcel 5 Park, Spaulding Park",BPRD,2202,INFO_Reallocation From Dept,2202,YES,02129,0203517800,0,NA,NA,0.003690774370254,5.47062547e-7,"MULTIPOLYGON (((-71.048914557999979 42.378114610000068, -71.047815247999949 42.377135467000073, -71.048239215999956 42.378508374000035, -71.048914557999979 42.378114610000068)))"
Spectacle Island I,City of Boston,A97,3,Harbor Islands,86.00348636,5 Spectacle Island,Industrial District,"Parks, Playgrounds & Athletic Fields",BPRD,DCR,X,X,Spectacle Island,BPRD,290,INFO_Reallocation From Dept,290,YES,NA,"0107073100,0107072000,0107071000,0107073000,0107070000,0107074000",0,NA,NA,0.037278945593394,3.8012818421e-5,NA
